377
12
|
Class1|Class2|Class3|Class4|Class5|Class6|Class7|Class8|Class9|Class10|Class11|Class12|Class|Orig_Format|Duplicate_Format|Duplicate|RGB/BW|FileName|Orig_ImgFileName|Tensmeyer_Nb
0.1|0.1|0.0|0.01|0.01|0.03|0.2|0.09|0.07|0.26|0.09|0.02|Script-3-add|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_100_0002_jpg.bmp|FRAD021_15_H_100_0002.jpg|214
0.01|0.5|0.0|0.01|0.0|0.02|0.12|0.04|0.02|0.0|0.28|0.0|Script-3b|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_107_0016_tif.bmp|FRAD021_15_H_107_0016.tif|154
0.13|0.22|0.0|0.0|0.0|0.02|0.27|0.14|0.02|0.03|0.15|0.01|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_107_0026_jpg.bmp|FRAD021_15_H_107_0026.jpg|250
0.19|0.06|0.0|0.03|0.02|0.08|0.15|0.07|0.08|0.19|0.11|0.02|Script-2b|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_109_0002_jpg.bmp|FRAD021_15_H_109_0002.jpg|239
0.01|0.51|0.0|0.01|0.0|0.04|0.12|0.02|0.02|0.0|0.27|0.0|NA|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_110_0010_tif.bmp|FRAD021_15_H_110_0010.tif|292
0.01|0.65|0.0|0.01|0.01|0.02|0.04|0.07|0.01|0.01|0.18|0.0|Script-3a|TIF|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_110_0012_tif.bmp|FRAD021_15_H_110_0012.tif|369
0.11|0.08|0.0|0.04|0.03|0.04|0.16|0.05|0.15|0.19|0.11|0.02|Script-3a|JPG|D-jpg|Y1|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_110_0014_jpg.bmp|FRAD021_15_H_110_0014.jpg|93
0.01|0.34|0.0|0.07|0.01|0.01|0.18|0.07|0.01|0.0|0.29|0.0|Script-3a|TIF|D-tif|Y1|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_110_0014_tif.bmp|FRAD021_15_H_110_0014.tif|69
0.23|0.04|0.01|0.01|0.02|0.01|0.19|0.02|0.04|0.08|0.32|0.04|NA|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_110_0016_jpg.bmp|FRAD021_15_H_110_0016.jpg|192
0.34|0.12|0.0|0.01|0.01|0.02|0.24|0.04|0.01|0.05|0.14|0.02|NA-script|JPG|NA|NO|RGB|../../Fontenay_WriterID_small/FRAD021_15_H_112_0002_jpg.bmp|FRAD021_15_H_112_0002.jpg|35
